id;path_with_namespace;web_url;visibility;created_at;last_activity_at;issues_enabled;jobs_enabled;wiki_enabled;merge_requests_enabled;snippets_enabled;container_registry_access_level;shared_runners_enabled;ci_forward_deployment_enabled;request_access_enabled;auto_devops_enabled;auto_devops_deploy_strategy;packages_enabled;service_desk_enabled
11220760;acdh-oeaw/onion;https://gitlab.com/acdh-oeaw/onion;private;2019-03-08T14:32:31.410Z;2020-02-06T11:11:06.009Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11220764;acdh-oeaw/rfttwrapper;https://gitlab.com/acdh-oeaw/rfttwrapper;private;2019-03-08T14:32:56.910Z;2020-07-24T14:32:28.160Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11220773;acdh-oeaw/sentistrength;https://gitlab.com/acdh-oeaw/sentistrength;private;2019-03-08T14:33:24.255Z;2019-03-08T14:33:24.255Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11220789;acdh-oeaw/sfst;https://gitlab.com/acdh-oeaw/sfst;private;2019-03-08T14:34:10.528Z;2019-03-08T14:34:10.528Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11220799;acdh-oeaw/unitok3;https://gitlab.com/acdh-oeaw/unitok3;private;2019-03-08T14:34:36.404Z;2022-03-11T17:55:59.778Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11221213;acdh-oeaw/zmorge_acdh;https://gitlab.com/acdh-oeaw/zmorge_acdh;private;2019-03-08T14:56:14.961Z;2019-03-08T14:56:14.961Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11221334;acdh-oeaw/smorlemma_acdh;https://gitlab.com/acdh-oeaw/smorlemma_acdh;private;2019-03-08T15:02:21.201Z;2019-03-08T15:02:21.201Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11221579;acdh-oeaw/registry_ske;https://gitlab.com/acdh-oeaw/registry_ske;private;2019-03-08T15:14:41.773Z;2019-10-31T16:15:11.175Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11221891;acdh-oeaw/registry_noske;https://gitlab.com/acdh-oeaw/registry_noske;private;2019-03-08T15:33:56.422Z;2021-09-27T14:45:38.191Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11222063;acdh-oeaw/mtas_acdhbroker2;https://gitlab.com/acdh-oeaw/mtas_acdhbroker2;private;2019-03-08T15:45:41.185Z;2019-03-08T15:45:41.185Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11222083;acdh-oeaw/mtas_acdhindexer;https://gitlab.com/acdh-oeaw/mtas_acdhindexer;private;2019-03-08T15:46:46.806Z;2019-03-08T15:46:46.806Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11222128;acdh-oeaw/mtas_acdhbroker1;https://gitlab.com/acdh-oeaw/mtas_acdhbroker1;private;2019-03-08T15:49:20.376Z;2019-03-08T15:49:20.376Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11222224;acdh-oeaw/mtas_acdh;https://gitlab.com/acdh-oeaw/mtas_acdh;private;2019-03-08T15:53:50.779Z;2019-03-08T15:53:50.779Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11245609;acdh-oeaw/ablo/ablo-data;https://gitlab.com/acdh-oeaw/ablo/ablo-data;private;2019-03-10T14:23:41.498Z;2022-04-22T12:22:04.193Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11245625;acdh-oeaw/ablo/ablo-application;https://gitlab.com/acdh-oeaw/ablo/ablo-application;private;2019-03-10T14:25:03.000Z;2020-06-29T07:28:06.179Z;True;True;True;True;True;enabled;False;None;False;False;manual;True;True
11277758;acdh-oeaw/linkedcat/browser;https://gitlab.com/acdh-oeaw/linkedcat/browser;private;2019-03-12T10:23:33.244Z;2020-02-04T17:16:31.921Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11281880;acdh-oeaw/schnitzler-werke/schnitzlerxml;https://gitlab.com/acdh-oeaw/schnitzler-werke/schnitzlerxml;private;2019-03-12T14:19:22.244Z;2019-03-12T14:19:22.244Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11296176;acdh-oeaw/dboe/dboe_tei_modelling;https://gitlab.com/acdh-oeaw/dboe/dboe_tei_modelling;private;2019-03-13T10:07:54.892Z;2022-01-13T08:53:24.905Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11316669;acdh-oeaw/legalkraus/boehm_edition;https://gitlab.com/acdh-oeaw/legalkraus/boehm_edition;private;2019-03-14T12:15:30.682Z;2021-05-17T09:50:03.421Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11317376;acdh-oeaw/elexis/lexdhai2019;https://gitlab.com/acdh-oeaw/elexis/lexdhai2019;private;2019-03-14T12:58:37.542Z;2019-07-23T11:01:01.490Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11320071;acdh-oeaw/legalkraus/documentation;https://gitlab.com/acdh-oeaw/legalkraus/documentation;private;2019-03-14T15:29:56.827Z;2022-02-28T10:44:16.784Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11320177;acdh-oeaw/legalkraus/framework;https://gitlab.com/acdh-oeaw/legalkraus/framework;private;2019-03-14T15:35:28.468Z;2022-03-24T07:33:46.880Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11338751;acdh-oeaw/japan-bibliographie/jb80-server;https://gitlab.com/acdh-oeaw/japan-bibliographie/jb80-server;private;2019-03-15T17:22:24.073Z;2019-03-15T17:22:24.073Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11391897;acdh-oeaw/linkedcat/goobi_export;https://gitlab.com/acdh-oeaw/linkedcat/goobi_export;private;2019-03-19T11:33:23.975Z;2020-10-02T16:14:08.366Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11391933;acdh-oeaw/linkedcat/ocr-block-classifier;https://gitlab.com/acdh-oeaw/linkedcat/ocr-block-classifier;private;2019-03-19T11:36:04.481Z;2019-03-19T11:36:04.481Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11394169;acdh-oeaw/vchc/wks_rest;https://gitlab.com/acdh-oeaw/vchc/wks_rest;private;2019-03-19T13:57:21.853Z;2019-09-13T13:14:04.648Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11397612;acdh-oeaw/linkedcat/marc-solr;https://gitlab.com/acdh-oeaw/linkedcat/marc-solr;private;2019-03-19T17:26:48.412Z;2020-10-27T09:22:08.617Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11412935;acdh-oeaw/legalkraus/app;https://gitlab.com/acdh-oeaw/legalkraus/app;private;2019-03-20T14:14:51.506Z;2021-09-28T11:48:03.045Z;True;True;True;True;True;enabled;False;None;False;True;continuous;True;True
11417056;acdh-oeaw/delphi/delphi-demos;https://gitlab.com/acdh-oeaw/delphi/delphi-demos;private;2019-03-20T18:18:10.804Z;2022-04-07T10:51:04.674Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11417067;acdh-oeaw/delphi/_d10globals;https://gitlab.com/acdh-oeaw/delphi/_d10globals;private;2019-03-20T18:19:36.819Z;2021-11-03T10:57:15.182Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11417085;acdh-oeaw/delphi/web_dict_editor;https://gitlab.com/acdh-oeaw/delphi/web_dict_editor;private;2019-03-20T18:21:05.921Z;2022-04-20T10:58:09.277Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11430952;acdh-oeaw/acdh-vocabularies/vocabssparql;https://gitlab.com/acdh-oeaw/acdh-vocabularies/vocabssparql;private;2019-03-21T14:16:01.092Z;2019-06-12T11:39:48.671Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11434879;acdh-oeaw/delphi/wde_basex;https://gitlab.com/acdh-oeaw/delphi/wde_basex;private;2019-03-21T17:56:32.481Z;2020-02-24T13:54:39.047Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11445590;acdh-oeaw/pmb/schnitzler-lod;https://gitlab.com/acdh-oeaw/pmb/schnitzler-lod;private;2019-03-22T10:14:13.533Z;2019-05-02T10:36:40.277Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11485580;acdh-oeaw/vchc/wks_webapp;https://gitlab.com/acdh-oeaw/vchc/wks_webapp;private;2019-03-25T08:51:41.953Z;2021-03-11T22:24:44.160Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11489801;acdh-oeaw/delphi/vleserver_basex;https://gitlab.com/acdh-oeaw/delphi/vleserver_basex;private;2019-03-25T12:44:59.705Z;2022-03-04T17:26:51.975Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11507786;acdh-oeaw/iepy;https://gitlab.com/acdh-oeaw/iepy;private;2019-03-26T10:11:06.936Z;2019-03-26T10:11:06.936Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11507948;acdh-oeaw/mythendb/mythendb_legacy;https://gitlab.com/acdh-oeaw/mythendb/mythendb_legacy;private;2019-03-26T10:19:55.839Z;2020-09-19T06:01:56.484Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11508081;acdh-oeaw/proverbq;https://gitlab.com/acdh-oeaw/proverbq;private;2019-03-26T10:27:18.902Z;2019-03-26T10:27:18.902Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11508456;acdh-oeaw/parthenos_ontology;https://gitlab.com/acdh-oeaw/parthenos_ontology;private;2019-03-26T10:46:51.285Z;2019-03-26T10:46:51.285Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11527060;acdh-oeaw/bestiarium-mesopotamicum/webapp;https://gitlab.com/acdh-oeaw/bestiarium-mesopotamicum/webapp;private;2019-03-27T09:43:23.886Z;2021-12-07T10:45:00.541Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11527172;acdh-oeaw/bestiarium-mesopotamicum/prototyping;https://gitlab.com/acdh-oeaw/bestiarium-mesopotamicum/prototyping;private;2019-03-27T09:50:06.480Z;2020-10-29T05:56:42.780Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11544697;acdh-oeaw/acdh-oxygen-wsaccess-plugin;https://gitlab.com/acdh-oeaw/acdh-oxygen-wsaccess-plugin;private;2019-03-28T07:10:22.923Z;2019-03-28T07:10:22.923Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11545444;acdh-oeaw/photoapp;https://gitlab.com/acdh-oeaw/photoapp;private;2019-03-28T08:08:37.450Z;2019-03-28T08:08:37.450Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11545819;acdh-oeaw/wisskomm;https://gitlab.com/acdh-oeaw/wisskomm;private;2019-03-28T08:35:18.903Z;2019-03-28T08:35:18.903Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11546818;acdh-oeaw/schnitzler-werke/blumen-app;https://gitlab.com/acdh-oeaw/schnitzler-werke/blumen-app;private;2019-03-28T09:24:54.912Z;2021-09-27T12:56:21.003Z;True;True;True;True;True;enabled;False;None;False;True;continuous;True;True
11547731;acdh-oeaw/pmb/pmb-data;https://gitlab.com/acdh-oeaw/pmb/pmb-data;private;2019-03-28T10:11:15.512Z;2019-03-28T10:11:15.512Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11550693;acdh-oeaw/ministerratsprotokolle/mp-retro;https://gitlab.com/acdh-oeaw/ministerratsprotokolle/mp-retro;private;2019-03-28T12:52:34.181Z;2022-02-15T11:26:21.800Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11550981;acdh-oeaw/traveldigital/traveldigital-data;https://gitlab.com/acdh-oeaw/traveldigital/traveldigital-data;private;2019-03-28T13:11:55.387Z;2019-09-23T09:10:06.332Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11551230;acdh-oeaw/nbr/nbr-data;https://gitlab.com/acdh-oeaw/nbr/nbr-data;private;2019-03-28T13:25:42.103Z;2019-11-06T12:04:24.353Z;False;True;False;True;True;enabled;False;None;False;False;continuous;True;True
11551243;acdh-oeaw/nbr/nbr-app;https://gitlab.com/acdh-oeaw/nbr/nbr-app;private;2019-03-28T13:27:04.186Z;2019-05-24T09:52:13.926Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
