,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2000/01/rdf-schema#range,Domain,Literal?,Range,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#type,http://www.w3.org/2000/01/rdf-schema#isDescribedUsing,http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#equivalentProperty,http://www.openlinksw.com/schemas/virtrdf#loadAs,http://www.openlinksw.com/schemas/virtrdf#item,http://www.w3.org/2000/01/rdf-schema#subClassOf
19,http://www.w3.org/2002/07/owl#cardinality,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,cardinality,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/2001/XMLSchema#nonNegativeInteger,,False,,,,,,,,,,
20,http://www.w3.org/2002/07/owl#backwardCompatibleWith,0,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#Property', 'http://www.w3.org/2002/07/owl#OntologyProperty']",,backwardCompatibleWith,http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#Ontology,,False,,,,,,,,,,
21,http://www.w3.org/2002/07/owl#incompatibleWith,0,"['http://www.w3.org/1999/02/22-rdf-syntax-ns#Property', 'http://www.w3.org/2002/07/owl#OntologyProperty']",,incompatibleWith,http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#Ontology,,False,,,,,,,,,,
22,http://www.w3.org/2002/07/owl#sameAs,8982635,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,sameAs,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2002/07/owl#Thing,"['http://lod.openaire.eu/vocab/ResultEntity', 'http://lod.openaire.eu/vocab/OrganizationEntity', 'http://lod.openaire.eu/vocab/ProjectEntity', 'http://purl.org/goodrelations/v1#BusinessEntity']",False,"['https://w3id.org/dingo#ResearchPerformingOrganisation', 'https://w3id.org/dingo#ForProfitOrganisation', 'https://w3id.org/dingo#Organisation', 'https://w3id.org/dingo#EducationOrganisation', 'https://w3id.org/dingo#Project', 'https://w3id.org/dingo#GovernmentalOrganisation']",,,,,,,,,
23,http://www.openlinksw.com/schemas/oplweb#ProductFamilyDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Family Description,http://www.openlinksw.com/schemas/oplweb#ProductFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
24,http://www.openlinksw.com/schemas/oplweb#ProductFamilyLongDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Family Long Description,http://www.openlinksw.com/schemas/oplweb#ProductFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
25,http://www.openlinksw.com/schemas/oplweb#ProductFamilyCode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Family Long Description,http://www.openlinksw.com/schemas/oplweb#ProductFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
26,http://www.openlinksw.com/schemas/oplweb#ProductFormatDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Format Description,http://www.openlinksw.com/schemas/oplweb#ProductFormat,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
27,http://www.openlinksw.com/schemas/oplweb#ProductFormatLongDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Format Long Description,http://www.openlinksw.com/schemas/oplweb#ProductFormat,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
28,http://www.openlinksw.com/schemas/oplweb#ProductFormatCode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Product Format Long Description,"['http://www.openlinksw.com/schemas/oplweb#ProductFormat', 'http://www.openlinksw.com/schemas/oplweb#ProductFormatCategory']",http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
